iter	Logloss
0	0.6926145434
1	0.6918043089
2	0.6910951138
3	0.6903268477
4	0.6898096727
5	0.6890337432
6	0.6883953096
7	0.6873907267
8	0.6867306956
9	0.6861804335
10	0.6858090151
11	0.6849176425
12	0.683991464
13	0.6835101576
14	0.6828188888
15	0.6821844493
16	0.6814423811
17	0.6808303416
18	0.6800791514
19	0.6794959035
20	0.6787202163
21	0.6780285372
22	0.6773107683
23	0.6768230992
24	0.6759531118
25	0.6753989957
26	0.6747065758
27	0.6741170748
28	0.6737418716
29	0.6731672199
30	0.6723487132
31	0.6717113283
32	0.671198202
33	0.6704656408
34	0.6696292133
35	0.6690472428
36	0.6683673796
37	0.6676357827
38	0.6670117227
39	0.6661870375
40	0.6654468841
41	0.6645879299
42	0.6638471901
43	0.6633565204
44	0.6628630881
45	0.6623514318
46	0.6616496466
47	0.6611105981
48	0.6604803871
49	0.6597421846
50	0.659138548
51	0.6582845764
52	0.657591599
53	0.6568104067
54	0.6562501885
55	0.6559948983
56	0.6553809211
57	0.6548305795
58	0.6541047652
59	0.6535278922
60	0.6528582582
61	0.6521174754
62	0.6515605697
63	0.6508022765
64	0.6501663997
65	0.6496070285
66	0.6490556858
67	0.6483522661
68	0.6478422111
69	0.6470193564
70	0.6465516346
71	0.6460151455
72	0.6451731119
73	0.6443517499
74	0.6439013322
75	0.6434688553
76	0.6429765894
77	0.6422989622
78	0.6415278274
79	0.6408176498
80	0.6404781573
81	0.6398954893
82	0.6392147575
83	0.6387216327
84	0.6381682129
85	0.6375801908
86	0.637006566
87	0.6365237636
88	0.6358096814
89	0.6351896997
90	0.6344854696
91	0.6338682207
92	0.6330742686
93	0.6325264935
94	0.632107181
95	0.6315352367
96	0.631025934
97	0.6306174451
98	0.6299899246
99	0.6293415063
100	0.6288789818
101	0.6281292149
102	0.6273530611
103	0.6266855591
104	0.6262147327
105	0.6254783171
106	0.6246056827
107	0.6239592202
108	0.6232751699
109	0.6226562665
110	0.6217108091
111	0.6211480358
112	0.620839101
113	0.6203951442
114	0.6201397214
115	0.6196133007
116	0.6191382226
117	0.618523801
118	0.6178652737
119	0.6171807806
120	0.6165839363
121	0.6158534853
122	0.6152925473
123	0.6146449943
124	0.6138591259
125	0.6133033487
126	0.6127829649
127	0.6120731119
128	0.6115845204
129	0.6108926793
130	0.6103198649
131	0.6096231605
132	0.6088681779
133	0.6082074505
134	0.6079130972
135	0.6073160963
136	0.606934036
137	0.6064803942
138	0.6060619055
139	0.6053220006
140	0.6048275428
141	0.6044769619
142	0.6039719331
143	0.6031742758
144	0.6027297566
145	0.6020255873
146	0.601447988
147	0.600821374
148	0.6002053294
149	0.5994926653
150	0.5987154926
151	0.5982137636
152	0.5977596722
153	0.5971270085
154	0.596585561
155	0.595938186
156	0.5953386869
157	0.5947463634
158	0.594150705
159	0.593705415
160	0.5931572022
161	0.5925746432
162	0.5923092046
163	0.5917990974
164	0.5912656886
165	0.59074863
