iter	Passed	Remaining
0	26	21178
1	33	13210
2	39	10501
3	44	8918
4	51	8116
5	61	8149
6	76	8621
7	81	8034
8	86	7616
9	94	7491
10	99	7135
11	110	7265
12	114	6956
13	126	7127
14	130	6830
15	133	6543
16	139	6444
17	145	6301
18	148	6105
19	157	6153
20	165	6155
21	174	6185
22	179	6055
23	183	5938
24	189	5879
25	195	5814
26	208	5964
27	215	5951
28	223	5940
29	229	5884
30	239	5945
31	244	5870
32	251	5842
33	261	5881
34	271	5939
35	283	6013
36	289	5963
37	293	5894
38	298	5817
39	304	5789
40	308	5719
41	312	5642
42	318	5605
43	322	5541
44	325	5465
45	330	5415
46	336	5386
47	340	5336
48	350	5371
49	358	5370
50	365	5366
51	378	5444
52	384	5419
53	389	5385
54	393	5326
55	396	5268
56	400	5223
57	405	5181
58	408	5127
59	411	5076
60	415	5034
61	419	4992
62	422	4940
63	425	4894
64	428	4844
65	432	4812
66	441	4825
67	447	4816
68	456	4832
69	461	4817
70	468	4807
71	472	4778
72	475	4738
73	479	4703
74	487	4714
75	492	4689
76	495	4652
77	499	4624
78	503	4599
79	507	4564
80	509	4526
81	513	4499
82	517	4470
83	521	4444
84	524	4413
85	528	4386
86	532	4364
87	537	4345
88	541	4325
89	544	4295
90	548	4271
91	551	4246
92	555	4225
93	559	4204
94	565	4197
95	570	4180
96	573	4155
97	577	4133
98	581	4114
99	585	4100
100	588	4072
101	591	4044
102	594	4020
103	597	4000
104	601	3982
105	605	3963
106	608	3942
107	613	3927
108	616	3910
109	619	3886
110	622	3867
111	626	3846
112	630	3830
113	633	3813
114	637	3795
115	640	3774
116	643	3755
117	648	3750
118	652	3734
119	656	3719
120	661	3709
121	667	3708
122	671	3695
123	675	3682
124	680	3672
125	685	3668
126	689	3651
127	692	3637
128	697	3626
129	702	3618
130	706	3608
131	710	3595
132	717	3597
133	722	3591
134	728	3589
135	736	3593
136	740	3585
137	748	3590
138	753	3584
139	757	3573
140	764	3571
141	770	3572
142	777	3570
143	783	3571
144	789	3567
145	795	3563
146	799	3552
147	804	3545
148	809	3536
149	814	3529
150	822	3533
151	826	3521
152	832	3519
153	836	3510
154	842	3504
155	849	3504
156	854	3501
157	865	3516
158	872	3517
159	884	3538
160	912	3621
161	952	3750
162	962	3759
163	970	3765
164	984	3786
165	995	3802
166	1014	3843
167	1039	3910
168	1071	4001
169	1093	4052
170	1113	4095
171	1131	4130
172	1144	4146
173	1149	4136
174	1161	4146
175	1173	4159
176	1177	4145
177	1182	4131
178	1190	4131
179	1199	4130
180	1212	4147
181	1225	4161
182	1247	4207
183	1256	4205
184	1262	4198
185	1267	4184
186	1272	4172
187	1275	4153
188	1279	4135
189	1281	4115
190	1284	4095
191	1288	4081
192	1293	4067
193	1297	4054
194	1304	4047
195	1310	4039
196	1315	4026
197	1322	4019
198	1326	4006
199	1331	3993
200	1335	3979
201	1339	3964
202	1343	3949
203	1347	3937
204	1354	3930
205	1359	3919
206	1363	3905
207	1367	3890
208	1371	3878
209	1375	3863
210	1379	3850
211	1384	3841
212	1388	3827
213	1391	3811
214	1394	3794
215	1398	3779
216	1401	3764
217	1405	3751
218	1407	3735
219	1411	3720
220	1414	3704
221	1418	3692
222	1422	3681
223	1426	3667
224	1429	3652
225	1433	3639
226	1438	3631
227	1445	3625
228	1450	3615
229	1456	3609
230	1461	3600
231	1470	3600
232	1475	3591
233	1478	3577
234	1482	3563
235	1485	3550
236	1488	3537
237	1493	3526
238	1497	3516
239	1502	3505
240	1505	3492
241	1508	3479
242	1513	3469
243	1519	3462
244	1523	3452
245	1528	3441
246	1534	3436
247	1540	3429
248	1544	3416
249	1548	3407
250	1553	3397
251	1557	3386
252	1566	3386
253	1577	3391
254	1587	3392
255	1592	3383
256	1598	3377
257	1624	3413
258	1632	3409
259	1639	3404
260	1644	3396
261	1649	3386
262	1652	3374
263	1656	3363
264	1659	3351
265	1663	3339
266	1667	3328
267	1671	3317
268	1674	3305
269	1677	3293
270	1681	3282
271	1685	3272
272	1688	3259
273	1691	3247
274	1695	3236
275	1699	3225
276	1702	3213
277	1705	3201
278	1708	3191
279	1716	3188
280	1721	3178
281	1724	3166
282	1727	3156
283	1730	3144
284	1734	3133
285	1737	3121
286	1739	3110
287	1742	3097
288	1745	3086
289	1749	3076
290	1753	3067
291	1756	3056
292	1761	3047
293	1765	3039
294	1769	3029
295	1772	3017
296	1774	3006
297	1777	2994
298	1781	2984
299	1784	2973
300	1787	2963
301	1791	2953
302	1794	2943
303	1798	2934
304	1801	2923
305	1804	2913
306	1807	2902
307	1812	2894
308	1816	2886
309	1820	2877
310	1823	2866
311	1825	2855
312	1832	2850
313	1836	2841
314	1838	2831
315	1843	2824
316	1847	2814
317	1850	2804
318	1853	2794
319	1856	2784
320	1859	2775
321	1863	2766
322	1866	2756
323	1869	2746
324	1872	2737
325	1876	2727
326	1879	2718
327	1882	2709
328	1885	2699
329	1889	2690
330	1892	2680
331	1895	2671
332	1898	2663
333	1902	2654
334	1905	2645
335	1909	2637
336	1913	2628
337	1917	2621
338	1921	2612
339	1925	2604
340	1929	2596
341	1933	2589
342	1935	2579
343	1938	2569
344	1941	2560
345	1945	2552
346	1948	2543
347	1953	2537
348	1956	2528
349	1961	2521
350	1965	2514
351	1970	2507
352	1974	2499
353	1979	2494
354	1983	2486
355	1987	2479
356	1996	2476
357	2000	2469
358	2002	2460
359	2006	2452
360	2009	2444
361	2013	2436
362	2017	2428
363	2021	2420
364	2024	2412
365	2028	2405
366	2033	2399
367	2044	2400
368	2049	2393
369	2053	2386
370	2060	2382
371	2065	2376
372	2069	2369
373	2074	2363
374	2079	2356
375	2083	2349
376	2087	2341
377	2096	2340
378	2100	2333
379	2104	2325
380	2108	2319
381	2112	2311
382	2115	2303
383	2119	2295
384	2123	2288
385	2128	2283
386	2132	2275
